RR 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
208600 9 0 133 
208800 9 0 133 
209000 9 0 133 
209200 9 0 133 
209400 10 0 134 
209600 9 0 134 
209800 9 0 135 
210000 9 0 135 
210200 9 1 135 
210400 10 0 135 
210600 9 0 135 
210800 9 0 135 
211000 9 0 135 
211200 9 0 135 
211400 9 0 135 
211600 9 0 135 
211800 9 0 135 
212000 9 0 135 
212200 9 0 135 
212400 9 0 135 
212600 9 0 135 
212800 9 0 135 
213000 9 0 135 
213200 9 0 136 
213400 9 0 136 
213600 9 0 137 
213800 9 0 138 
214000 9 0 138 
214200 9 0 138 
214400 9 0 138 
214600 9 0 138 
214800 9 0 138 
215000 9 0 138 
215200 9 0 138 
215400 9 0 138 
215600 9 0 138 
215800 9 0 138 
216000 9 0 138 
216200 9 0 138 
216400 9 0 138 
216600 8 1 138 
216800 9 0 138 
217000 9 0 138 
217200 9 0 138 
217400 9 0 138 
217600 9 0 138 
217800 9 0 138 
218000 9 0 138 
218200 9 0 138 
218400 9 0 138 
218600 9 0 138 
218800 9 0 138 
219000 10 0 138 
219200 9 0 139 
219400 9 0 140 
219600 9 0 140 
219800 9 0 141 
220000 9 0 141 
220200 9 0 141 
220400 9 0 141 
220600 9 0 141 
220800 9 0 142 
221000 9 0 142 
221200 8 1 142 
221400 9 0 142 
221600 9 0 143 
221800 9 0 143 
222000 9 0 143 
222200 9 0 143 
222400 9 0 143 
222600 9 0 143 
222800 9 0 143 
223000 9 0 143 
223200 8 1 143 
223400 9 0 143 
223600 9 0 143 
223800 9 0 143 
224000 9 0 143 
224200 9 0 143 
224400 9 0 143 
224600 9 0 143 
224800 9 0 143 
225000 9 0 143 
225200 9 0 143 
225400 9 0 143 
225600 9 0 143 
225800 9 0 144 
226000 9 0 144 
226200 9 0 144 
226400 9 0 144 
226600 9 0 144 
226800 9 0 144 
227000 9 0 144 
227200 9 0 144 
227400 9 0 144 
227600 9 0 145 
227800 9 0 145 
228000 10 0 145 
228200 9 0 145 
228400 10 0 145 
228600 9 0 145 
228800 9 0 145 
229000 9 0 146 
229200 9 0 147 
229400 9 0 147 
229600 8 1 147 
229800 9 0 147 
230000 9 0 147 
230200 9 0 147 
230400 9 0 147 
230600 9 0 147 
230800 9 0 147 
231000 8 1 147 
231200 9 0 147 
231400 9 0 147 
231600 9 0 147 
231800 9 0 147 
232000 9 0 147 
232200 9 0 147 
232400 8 2 147 
232600 9 0 147 
232800 9 0 148 
233000 9 0 148 
233200 9 0 150 
233400 9 0 150 
233600 9 0 150 
233800 8 1 150 
234000 9 0 150 
234200 9 0 150 
234400 9 0 150 
234600 9 0 150 
234800 9 0 150 
235000 9 0 150 
235200 9 0 150 
235400 9 0 151 
235600 9 0 151 
235800 9 0 151 
236000 10 0 151 
236200 9 0 151 
236400 9 0 151 
236600 9 0 151 
236800 9 0 151 
237000 9 0 151 
237200 9 1 152 
237400 9 0 152 
237600 9 0 152 
237800 9 0 152 
238000 9 0 152 
238200 9 0 152 
238400 9 0 152 
238600 9 0 152 
238800 9 0 152 
239000 9 0 152 
239200 9 0 152 
239400 9 0 152 
239600 9 0 152 
239800 9 0 154 
240000 9 0 154 
240200 9 0 154 
240400 9 0 154 
240600 9 0 155 
240800 9 0 155 
241000 9 0 155 
241200 9 0 156 
241400 9 0 157 
241600 9 0 157 
241800 9 0 157 
242000 10 0 157 
242200 9 0 157 
242400 9 0 157 
242600 9 0 157 
242800 8 1 158 
243000 9 0 158 
243200 9 0 158 
243400 9 0 159 
243600 9 0 159 
243800 9 0 159 
244000 9 0 159 
244200 9 0 159 
244400 9 0 159 
244600 9 0 159 
244800 9 0 159 
245000 9 0 159 
245200 9 0 159 
245400 9 0 159 
245600 9 0 159 
245800 9 0 159 
246000 9 0 159 
246200 9 0 159 
246400 9 0 159 
246600 9 0 159 
246800 9 0 159 
247000 9 0 159 
247200 9 0 159 
247400 9 0 159 
247600 10 0 159 
247800 9 0 159 
248000 9 0 159 
248200 9 0 159 
248400 9 0 160 
248600 9 0 160 
248800 9 0 160 
249000 9 0 160 
249200 9 0 160 
249400 8 1 160 
249600 9 0 160 
249800 9 0 160 
250000 8 1 161 
250200 9 0 161 
250400 9 0 161 
250600 9 0 161 
250800 9 0 162 
251000 7 2 162 
251200 9 0 162 
251400 9 0 162 
251600 9 0 162 
251800 9 0 162 
252000 9 0 163 
252200 8 1 163 
252400 9 0 163 
252600 9 0 163 
252800 9 0 163 
253000 9 0 163 
253200 9 0 163 
253400 9 0 163 
253600 9 0 163 
253800 9 0 163 
254000 9 0 163 
254200 9 0 163 
254400 9 0 163 
254600 9 0 163 
254800 9 0 164 
255000 10 0 164 
255200 9 0 165 
255400 9 0 165 
255600 9 0 165 
255800 8 1 166 
256000 9 0 166 
256200 8 1 166 
256400 9 0 166 
256600 9 0 166 
256800 9 0 166 
257000 9 0 166 
257200 9 0 166 
257400 9 0 167 
257600 9 0 167 
257800 9 1 167 
258000 9 0 167 
258200 9 0 167 
258400 9 0 167 
258600 10 0 167 
258800 9 0 167 
259000 10 0 167 
259200 9 0 168 
259400 9 0 168 
259600 10 0 169 
259800 10 0 169 
260000 10 0 169 
260200 10 0 169 
260400 9 0 169 
260600 10 0 169 
260800 9 0 169 
261000 10 0 169 
261200 9 0 169 
261400 9 0 169 
261600 9 0 169 
261800 9 0 169 
262000 8 1 169 
262200 10 0 169 
262400 9 0 169 
262600 9 0 169 
262800 10 0 169 
263000 9 0 169 
263200 10 0 169 
263400 9 0 170 
263600 9 0 170 
263800 9 0 170 
264000 9 0 170 
264200 9 0 170 
264400 9 0 170 
264600 10 0 170 
264800 9 0 170 
265000 9 0 170 
265200 9 1 170 
265400 9 0 171 
265600 9 0 171 
265800 9 0 171 
266000 9 0 171 
266200 9 0 171 
266400 9 0 171 
266600 9 0 171 
266800 9 0 171 
267000 9 0 171 
267200 9 0 171 
267400 9 0 171 
267600 9 0 171 
267800 9 0 171 
268000 9 0 171 
268200 9 0 171 
268400 9 0 171 
268600 9 0 171 
268800 9 0 171 
269000 9 0 171 
269200 9 0 171 
269400 9 0 171 
269600 9 0 171 
269800 9 0 171 
270000 9 0 171 
270200 9 0 171 
270400 9 0 172 
270600 9 0 172 
270800 9 0 172 
271000 9 0 172 
271200 8 1 172 
271400 9 0 172 
271600 9 0 172 
271800 9 0 172 
